time,ax,ay,az,aT
0.003000,0.2584,0.2091,-1.6473,1.680
0.004000,-0.1082,0.1656,-1.1546,1.171
0.011000,-0.4474,0.0012,-0.6049,0.752
0.012000,-0.6079,-0.0751,-0.1058,0.622
0.016000,-0.7999,-0.1292,0.4528,0.928
0.021000,-0.8677,-0.1264,0.9751,1.311
0.027000,-0.8012,-0.1440,1.3272,1.557
0.030000,-0.5516,-0.1343,1.4520,1.559
0.036000,-0.1871,-0.1448,1.3806,1.401
0.042000,0.2177,-0.1148,1.1037,1.131
0.045000,0.5285,-0.0981,0.7050,0.887
0.050000,0.7118,-0.0890,0.3639,0.804
0.055000,0.9277,-0.0796,0.1113,0.938
0.060000,1.0861,-0.0957,-0.0959,1.094
0.068000,1.0591,-0.0981,-0.1215,1.071
0.071000,0.9249,-0.0794,0.0512,0.930
0.075000,0.6847,-0.0569,0.4004,0.795
0.079000,0.4665,-0.0313,0.7827,0.912
0.084000,0.2685,0.0109,1.0786,1.112
0.102000,0.1586,0.0593,1.2907,1.302
0.102000,0.1154,0.0349,1.3451,1.350
0.102000,0.1409,0.0069,1.2801,1.288
0.104000,0.1848,-0.0555,1.1006,1.117
0.109000,0.1796,-0.0993,0.9287,0.951
0.114000,0.1629,-0.1077,0.8454,0.868
0.118000,0.2325,-0.0972,0.7361,0.778
0.124000,0.3212,-0.0871,0.6222,0.706
0.131000,0.4118,-0.0723,0.4869,0.642
0.134000,0.4061,-0.0984,0.3734,0.560
0.139000,0.3111,-0.1194,0.3389,0.475
0.142000,0.2131,-0.0804,0.2064,0.307
0.149000,0.1616,-0.0510,0.0837,0.189
0.153000,0.0798,-0.0358,0.0687,0.111
0.158000,-0.0822,-0.0063,-0.0083,0.083
0.162000,-0.1500,0.0138,-0.1354,0.203
0.167000,-0.2123,0.0150,-0.2145,0.302
0.172000,-0.2714,0.0165,-0.2719,0.385
0.192000,-0.2606,0.0208,-0.3841,0.465
0.193000,-0.2088,0.0564,-0.4268,0.478
0.193000,-0.2256,0.0780,-0.3785,0.447
0.194000,-0.2171,0.0976,-0.3086,0.390
0.201000,-0.2473,0.0934,-0.2578,0.369
0.201000,-0.2633,0.1391,-0.2212,0.371
0.214000,-0.2671,0.1271,-0.2395,0.381
0.215000,-0.2963,0.1578,-0.3078,0.455
0.216000,-0.2981,0.1835,-0.3711,0.510
0.222000,-0.2816,0.2143,-0.4725,0.590
0.228000,-0.2372,0.2047,-0.5092,0.598
0.233000,-0.2104,0.1575,-0.5125,0.576
0.241000,-0.1749,0.1609,-0.4631,0.521
0.241000,-0.1192,0.1695,-0.4759,0.519
0.245000,-0.0364,0.1206,-0.4026,0.422
0.251000,0.0016,0.0450,-0.3914,0.394
0.256000,0.1476,0.0621,-0.3109,0.350
0.260000,0.2177,0.0786,-0.2782,0.362
0.265000,0.2455,0.0705,-0.3579,0.440
0.270000,0.3191,0.0334,-0.4899,0.586
0.276000,0.4285,-0.0065,-0.6767,0.801
0.279000,0.4753,-0.0439,-0.7843,0.918
0.284000,0.5144,-0.1265,-0.7937,0.954
0.290000,0.5148,-0.1610,-0.7815,0.950
0.294000,0.5053,-0.1425,-0.7692,0.931
0.299000,0.4885,-0.1190,-0.7354,0.891
0.316000,0.4336,-0.1073,-0.6992,0.830
0.316000,0.3652,-0.0881,-0.6702,0.768
0.317000,0.3073,-0.0971,-0.6436,0.720
0.319000,0.1668,-0.1200,-0.5693,0.605
0.323000,0.0302,-0.0853,-0.4187,0.428
0.328000,-0.0401,-0.0935,-0.3712,0.385
0.333000,-0.0274,-0.0780,-0.3716,0.381
0.353000,0.0160,-0.1108,-0.4224,0.437
0.354000,0.0807,-0.1390,-0.4828,0.509
0.355000,0.1912,-0.1670,-0.6080,0.659
0.355000,0.3623,-0.1729,-0.7500,0.851
0.372000,0.4958,-0.2117,-0.8301,0.990
0.373000,0.6109,-0.2521,-0.7791,1.022
0.373000,0.6817,-0.3372,-0.6209,0.982
0.381000,0.7631,-0.3577,-0.4155,0.940
0.382000,0.8102,-0.4000,-0.1796,0.921
0.383000,0.8307,-0.4982,-0.0042,0.969
0.387000,0.8587,-0.5068,0.0893,1.001
0.393000,0.9498,-0.4574,0.1057,1.060
0.397000,1.0857,-0.3956,0.0237,1.156
0.402000,1.3243,-0.3142,-0.0898,1.364
0.406000,1.5082,-0.3137,-0.1270,1.546
0.412000,1.7059,-0.3058,-0.1336,1.738
0.416000,1.7082,-0.3883,-0.0879,1.754
0.422000,1.5887,-0.5495,0.0148,1.681
0.426000,1.3968,-0.6750,0.1222,1.556
0.430000,1.3154,-0.6582,0.2155,1.487
0.438000,1.1906,-0.6838,0.5605,1.483
0.441000,1.2246,-0.6763,0.6269,1.533
0.446000,1.2488,-0.7267,0.3706,1.492
0.451000,1.2872,-0.8516,0.2947,1.571
0.456000,1.2190,-1.0316,0.2400,1.615
0.460000,1.3313,-1.1063,0.3537,1.767
0.466000,1.3146,-1.2076,0.5390,1.865
0.480000,1.3368,-1.2616,0.6377,1.946
0.483000,1.4101,-1.3668,0.7398,2.099
0.486000,1.5206,-1.2250,0.7178,2.080
0.506000,1.7248,-1.2019,0.6656,2.205
0.508000,2.1883,-1.3749,0.8895,2.733
0.509000,2.1569,-1.4689,0.9641,2.782
0.510000,2.1768,-1.6638,0.7943,2.853
0.511000,2.4293,-1.6144,0.5117,2.961
0.512000,2.7416,-1.4369,0.0272,3.095
0.514000,3.1753,-1.2450,-0.4161,3.436
0.529000,3.4081,-1.1780,-0.6093,3.657
0.531000,3.4082,-1.3288,-0.5349,3.697
0.532000,3.2246,-1.5033,-0.3569,3.576
0.533000,3.0265,-1.7058,-0.0949,3.475
0.543000,2.8257,-1.8474,0.1370,3.379
0.544000,2.5981,-1.8167,0.2840,3.183
0.548000,2.2242,-1.7678,0.6129,2.907
0.560000,1.5356,-1.8950,1.2215,2.728
0.563000,0.4771,-2.0919,1.7112,2.744
0.563000,-0.3744,-2.0808,1.7671,2.755
0.572000,-0.7448,-1.8498,1.3916,2.432
0.572000,-0.7482,-1.5630,0.9043,1.955
0.577000,-0.5981,-1.3119,0.1347,1.448
0.582000,-0.6460,-1.1507,-0.7483,1.517
0.589000,-0.6959,-1.1003,-1.6212,2.079
0.591000,-0.5518,-0.9188,-2.3372,2.571
0.596000,-0.5146,-0.6533,-2.6318,2.760
0.604000,-0.3423,-0.2982,-2.6592,2.698
0.605000,-0.2061,-0.0513,-2.4349,2.444
0.613000,-0.1361,0.0360,-2.0139,2.019
0.633000,-0.0018,0.1363,-1.4756,1.482
0.634000,0.3291,0.3838,-1.0145,1.134
0.634000,0.7204,0.7690,-0.6828,1.256
0.634000,0.9399,1.0201,-0.4350,1.454
0.636000,1.0571,1.1136,-0.2428,1.555
0.641000,1.0574,1.1246,-0.2072,1.557
0.646000,0.8447,1.0818,-0.4608,1.448
0.650000,0.2464,0.8127,-0.9143,1.248
0.659000,-0.4988,0.4030,-1.4426,1.579
0.659000,-1.2128,0.1120,-2.0761,2.407
0.667000,-1.5513,0.1666,-2.5292,2.972
0.669000,-1.5629,0.5373,-2.7445,3.204
0.675000,-1.4602,0.7473,-3.0922,3.500
0.679000,-1.2695,0.7324,-3.6070,3.893
0.685000,-1.1914,0.7510,-3.8968,4.143
0.690000,-1.2279,0.8293,-3.7577,4.039
0.694000,-1.2153,0.9873,-3.4607,3.798
0.700000,-1.0645,1.5618,-3.1704,3.691
0.705000,-0.6555,2.1991,-2.7909,3.613
0.709000,0.4497,2.5014,-2.5393,3.593
0.713000,1.3818,2.5457,-2.2289,3.655
0.720000,2.1683,2.2672,-2.0444,3.745
0.724000,2.4996,1.8681,-2.0533,3.735
0.728000,2.4247,1.4903,-2.0383,3.501
0.740000,2.2645,1.2812,-1.8077,3.168
0.741000,1.9688,1.1388,-1.3670,2.654
0.751000,1.6712,1.1164,-0.9653,2.230
0.752000,1.4693,1.0544,-0.8664,2.005
0.765000,1.2573,1.0780,-0.7668,1.825
0.766000,1.0327,1.0167,-0.7239,1.620
0.767000,0.9051,1.0250,-0.5039,1.457
0.768000,0.6117,1.0386,-0.3015,1.242
0.777000,0.1790,1.0313,-0.1551,1.058
0.778000,-0.8401,0.9065,0.0546,1.237
0.783000,-2.0085,0.7701,0.2164,2.162
0.798000,-1.7997,0.9880,-0.1286,2.057
0.799000,-0.9709,1.3255,-0.7768,1.817
0.799000,-0.9280,1.1716,-1.1609,1.892
0.801000,-1.1945,0.8728,-1.2820,1.958
0.807000,-1.2134,0.9689,-1.0902,1.897
0.811000,-0.7243,1.4217,-0.9854,1.875
0.816000,-0.0927,1.9678,-0.8358,2.140
0.821000,0.4362,2.4449,-0.9733,2.667
0.826000,0.7754,2.7529,-1.6977,3.326
0.831000,0.9093,2.8765,-2.4657,3.896
0.835000,1.3385,3.0125,-3.4649,4.782
0.840000,1.8297,3.0900,-4.1181,5.464
0.846000,1.9149,2.9806,-3.8703,5.247
0.851000,1.3557,2.4550,-2.7254,3.911
0.856000,0.5647,1.8173,-1.0841,2.190
0.860000,-0.1468,1.2687,0.4192,1.344
0.865000,-0.6037,0.7972,0.8152,1.290
0.871000,-0.6859,0.5489,0.5850,1.055
0.877000,-0.5257,0.5826,0.2020,0.810
0.880000,-0.4032,0.8022,0.0984,0.903
0.885000,-0.2152,1.1391,0.2971,1.197
0.890000,0.0845,1.4250,0.6823,1.582
0.895000,0.3365,1.6161,0.8587,1.861
0.901000,0.7715,1.9389,0.6715,2.192
0.908000,1.1728,2.1483,0.3432,2.471
0.909000,1.1567,2.0230,0.0559,2.331
0.915000,0.7765,1.6139,0.0672,1.792
0.919000,0.2657,1.0938,0.3371,1.175
0.924000,0.1567,0.8856,0.5999,1.081
0.929000,0.2526,0.8928,0.6259,1.119
0.934000,0.3571,0.7687,0.2851,0.894
0.939000,0.3936,0.6140,-0.0611,0.732
0.943000,0.4293,0.5435,-0.1807,0.716
0.948000,0.4619,0.4810,-0.2601,0.716
0.954000,0.5058,0.4669,-0.6815,0.969
0.958000,0.7137,0.5441,-1.2662,1.552
0.964000,0.5960,0.3756,-1.4059,1.573
0.969000,0.4467,0.0736,-1.2904,1.368
0.974000,0.4088,-0.2925,-1.0049,1.124
0.992000,0.2836,-0.6608,-1.1528,1.359
0.995000,0.0766,-1.0190,-1.0400,1.458
0.996000,0.0018,-1.4302,-1.1565,1.839
0.996000,0.1797,-1.7475,-1.8590,2.558
0.998000,0.4271,-1.9393,-2.3226,3.056
1.002000,0.6232,-2.2390,-2.1824,3.188
1.007000,0.8068,-2.2588,-2.8479,3.723
1.013000,1.6707,-2.2699,-1.7071,3.295
1.017000,2.2676,-2.2366,0.2276,3.193
1.021000,3.2457,-1.9624,0.6446,3.847
1.027000,3.8611,-1.7808,0.0828,4.253
1.031000,3.4689,-3.1088,-2.1246,5.120
1.037000,3.4514,-3.2869,-1.0308,4.876
1.041000,3.5644,-3.1992,-1.1441,4.924
1.046000,3.6153,-2.9449,-1.5499,4.914
1.051000,3.3424,-2.6612,-1.3402,4.478
1.056000,3.0505,-2.3873,-1.2024,4.056
1.062000,2.9150,-2.0981,-1.3938,3.853
1.066000,2.9700,-1.7427,-1.3285,3.691
1.070000,3.2234,-1.3131,-1.0995,3.650
1.075000,3.3753,-0.9590,-0.9575,3.637
1.087000,3.3105,-0.6268,-0.9089,3.490
1.088000,3.0812,-0.2967,-0.9776,3.246
1.093000,2.7820,0.0842,-1.2057,3.033
1.101000,2.5595,0.6016,-1.5502,3.052
1.102000,2.4360,1.1694,-1.5785,3.129
1.104000,2.2056,1.6251,-1.6629,3.205
1.112000,1.8592,1.8770,-1.6192,3.099
1.116000,1.3174,1.8943,-1.6305,2.825
1.119000,0.9056,1.9230,-1.4185,2.555
1.125000,0.6244,2.0178,-1.3572,2.511
1.130000,0.4721,2.1569,-0.8883,2.380
1.134000,0.3541,2.1726,-0.2424,2.215
1.138000,0.0057,1.9931,-0.2856,2.013
1.145000,-0.6851,1.7469,-0.2048,1.888
1.149000,-1.4040,1.5793,-0.0340,2.113
1.153000,-2.0115,1.6234,-0.2688,2.599
1.158000,-2.2770,1.8473,-0.4016,2.959
1.164000,-2.2578,2.1647,-0.3862,3.152
1.168000,-2.1580,2.4174,-0.4074,3.266
1.173000,-2.2799,2.4574,-0.3699,3.372
1.194000,-2.4579,2.2656,-0.4894,3.378
1.203000,-2.5009,2.0858,-0.4527,3.288
1.205000,-2.6673,1.8032,-0.6544,3.285
1.205000,-2.7039,1.5395,-0.5091,3.153
1.206000,-2.6228,1.4188,-0.4142,3.011
1.207000,-2.6156,1.4098,-0.4420,3.004
1.221000,-2.7920,1.4906,-0.4204,3.193
1.223000,-3.1643,1.6012,-0.5152,3.584
1.224000,-3.3265,1.8322,-0.5424,3.836
1.224000,-3.3625,2.0711,-0.6338,4.000
1.228000,-3.4577,2.2174,-0.4954,4.137
1.231000,-3.6532,2.2090,-0.6019,4.311
1.237000,-3.6999,2.0939,-0.6425,4.300
1.242000,-3.7845,1.9079,-0.4952,4.267
1.246000,-3.8598,1.7229,-0.3944,4.245
1.250000,-3.7950,1.6391,-0.3904,4.152
1.255000,-3.6569,1.6159,-0.2007,4.003
1.263000,-3.2972,1.6936,-0.0551,3.707
1.265000,-2.8377,1.8722,0.2279,3.407
1.270000,-2.3565,1.9030,0.4432,3.061
1.275000,-2.1257,1.7694,0.1439,2.770
1.280000,-1.9343,1.6985,0.0467,2.575
1.285000,-1.6295,1.7691,0.1091,2.408
1.290000,-1.1937,1.9905,-0.2265,2.332
1.296000,-0.6665,2.3053,-0.1635,2.405
1.299000,-0.2400,2.6869,0.0396,2.698
1.304000,-0.1499,2.8533,0.1557,2.861
1.321000,-0.2311,2.9005,0.0629,2.910
1.323000,-0.5250,2.6805,0.2030,2.739
1.323000,-1.2100,2.1532,0.6256,2.548
1.328000,-2.0336,1.4746,0.6440,2.593
1.329000,-2.6989,0.7855,0.1783,2.817
1.334000,-3.2432,0.2171,0.1064,3.252
1.338000,-3.6513,-0.2553,0.2951,3.672
1.344000,-3.7157,-0.6319,0.2847,3.780
1.349000,-3.7056,-0.8846,0.3404,3.825
1.354000,-3.4994,-1.0160,0.2400,3.652
1.358000,-2.9961,-1.0361,0.2441,3.180
1.363000,-2.3238,-0.9355,0.3980,2.536
1.369000,-1.8298,-0.8887,0.5014,2.095
1.374000,-1.4549,-0.9387,0.4042,1.778
1.381000,-1.0806,-0.8461,0.1956,1.386
1.382000,-0.6094,-0.6015,0.1867,0.876
1.387000,-0.2474,-0.4464,0.3204,0.603
1.399000,0.0352,-0.2993,0.2388,0.385
1.400000,0.2942,-0.2080,0.1858,0.405
