time,ax,ay,az,aT
0.003000,0.2964,0.4430,-0.5195,0.744
0.004000,0.1902,0.4206,-0.6237,0.776
0.004000,0.1240,0.3683,-0.7039,0.804
0.008000,0.0308,0.3561,-0.7247,0.808
0.012000,-0.0275,0.3552,-0.5451,0.651
0.017000,-0.0696,0.3118,-0.3354,0.463
0.028000,-0.0765,0.2578,-0.1866,0.327
0.028000,-0.1125,0.1440,-0.1299,0.224
0.031000,-0.1322,0.0786,0.0423,0.159
0.036000,-0.0538,0.0212,0.2466,0.253
0.041000,0.0063,-0.0942,0.3016,0.316
0.046000,0.0079,-0.1887,0.3848,0.429
0.051000,0.0443,-0.1861,0.4697,0.507
0.057000,0.1197,-0.1990,0.5395,0.587
0.061000,0.1602,-0.2543,0.6567,0.722
0.065000,0.0752,-0.3095,0.6973,0.767
0.071000,-0.0231,-0.2845,0.6640,0.723
0.075000,0.0494,-0.2850,0.5836,0.651
0.080000,0.1370,-0.3116,0.4441,0.560
0.086000,0.1053,-0.3095,0.2597,0.418
0.091000,0.0977,-0.2524,0.1116,0.293
0.095000,0.0620,-0.2361,0.0885,0.260
0.104000,-0.0423,-0.2248,0.0612,0.237
0.105000,-0.0623,-0.1835,-0.0416,0.198
0.110000,-0.0294,-0.1127,-0.1363,0.179
0.115000,0.0417,-0.0813,-0.2065,0.226
0.119000,0.0932,-0.0680,-0.4102,0.426
0.124000,0.0601,-0.0510,-0.4801,0.487
0.129000,0.0542,-0.0336,-0.5073,0.511
0.134000,0.0895,-0.0068,-0.5613,0.568
0.139000,0.1732,0.0034,-0.5799,0.605
0.145000,0.1879,-0.0320,-0.5489,0.581
0.149000,0.1078,-0.0554,-0.3034,0.327
0.171000,0.0576,-0.0696,-0.1465,0.172
0.172000,0.0882,-0.0767,-0.0922,0.149
0.172000,0.0447,-0.0880,-0.0971,0.138
0.173000,-0.0057,-0.0645,-0.2282,0.237
0.173000,-0.0252,-0.0461,-0.3568,0.361
0.207000,-0.0045,-0.0894,-0.3328,0.345
0.208000,-0.0534,-0.1459,-0.1970,0.251
0.208000,-0.1592,-0.1292,-0.0567,0.213
0.208000,-0.1709,-0.1326,0.0499,0.222
0.209000,-0.1006,-0.1392,0.1063,0.202
0.209000,-0.0679,-0.1943,0.2296,0.308
0.209000,-0.2016,-0.2097,0.4223,0.513
0.212000,-0.2624,-0.1642,0.5650,0.644
0.218000,-0.1569,-0.1706,0.4956,0.547
0.223000,-0.0887,-0.2145,0.3958,0.459
0.227000,-0.1608,-0.1930,0.3849,0.460
0.231000,-0.1630,-0.1211,0.4150,0.462
0.236000,-0.1172,-0.1282,0.4141,0.449
0.244000,0.0025,-0.1237,0.3967,0.416
0.247000,-0.0069,-0.1149,0.4584,0.473
0.251000,-0.0068,-0.1068,0.5201,0.531
0.256000,0.0172,-0.1066,0.4721,0.484
0.261000,0.1343,-0.0878,0.2594,0.305
0.265000,0.1860,-0.0594,-0.0802,0.211
0.278000,0.1289,-0.0975,-0.3011,0.342
0.279000,0.0512,-0.0464,-0.1813,0.194
0.280000,0.0083,-0.0378,-0.1464,0.151
0.286000,-0.0476,-0.0647,-0.1555,0.175
0.295000,-0.0232,-0.0029,-0.1081,0.111
0.296000,-0.0260,-0.0199,-0.1094,0.114
0.305000,-0.0323,-0.0630,0.0152,0.072
0.305000,0.0038,-0.0537,0.1511,0.160
0.310000,-0.0848,-0.0733,0.1958,0.226
0.315000,-0.1208,-0.1003,0.2238,0.273
0.320000,-0.0512,-0.1158,0.3358,0.359
0.328000,-0.0904,-0.1434,0.3364,0.377
0.330000,-0.1230,-0.1234,0.2811,0.331
0.336000,-0.1373,-0.1128,0.2055,0.272
0.340000,-0.0762,-0.0685,0.0641,0.121
0.344000,0.0115,-0.0141,-0.0866,0.088
