time,ax,ay,az,aT
0.003000,0.1094,-0.0513,-1.3181,1.324
0.004000,0.1297,0.0003,-0.9956,1.004
0.004000,0.1258,0.0442,-0.5851,0.600
0.004000,0.0948,0.0500,-0.1680,0.199
0.004000,0.0388,0.0414,0.2224,0.229
0.005000,-0.0151,0.0248,0.5502,0.551
0.007000,-0.0529,0.0368,0.7990,0.802
0.011000,-0.0358,0.0582,0.9067,0.909
0.026000,-0.0209,0.0630,0.8424,0.845
0.027000,-0.0108,0.0196,0.6661,0.666
0.027000,0.0259,-0.0086,0.4041,0.405
0.032000,0.0748,-0.0542,0.1354,0.164
0.036000,0.1381,-0.0953,-0.1210,0.207
0.041000,0.2541,-0.0902,-0.3389,0.433
0.047000,0.3078,-0.0914,-0.5112,0.604
0.050000,0.3802,-0.1102,-0.6236,0.739
0.055000,0.3999,-0.0989,-0.6307,0.753
0.060000,0.3860,-0.0909,-0.5830,0.705
0.076000,0.3624,-0.0890,-0.4445,0.580
0.077000,0.3129,-0.0981,-0.2895,0.437
0.078000,0.2469,-0.1187,-0.1419,0.308
0.080000,0.2293,-0.1342,0.0199,0.266
0.091000,0.1957,-0.1546,0.2031,0.322
0.092000,0.1991,-0.1800,0.3191,0.417
0.096000,0.1918,-0.2154,0.5092,0.585
0.100000,0.1573,-0.2537,0.6082,0.678
0.105000,0.1532,-0.2164,0.6283,0.682
0.110000,0.1958,-0.2112,0.5719,0.640
0.115000,0.1745,-0.2044,0.4847,0.554
0.120000,0.0917,-0.1986,0.3928,0.450
0.123000,0.0216,-0.1763,0.2747,0.327
0.128000,-0.0314,-0.1809,0.1664,0.248
0.133000,-0.0793,-0.1382,0.1347,0.209
0.139000,-0.1151,-0.1149,0.1270,0.206
0.143000,-0.1386,-0.0798,0.1360,0.210
0.148000,-0.1475,-0.0451,0.1546,0.218
0.153000,-0.1441,-0.0369,0.1708,0.227
0.158000,-0.1502,-0.0387,0.1798,0.237
0.165000,-0.1370,-0.0101,0.1817,0.228
0.168000,-0.1074,-0.0108,0.1454,0.181
0.174000,-0.0590,-0.0145,0.1043,0.121
0.177000,-0.0444,-0.0258,0.0395,0.065
0.183000,-0.0516,-0.0493,-0.0349,0.079
0.188000,-0.0591,-0.0608,-0.0828,0.118
0.193000,-0.0695,-0.0866,-0.0924,0.144
0.211000,-0.1160,-0.0883,-0.0925,0.173
0.212000,-0.1462,-0.0946,-0.0280,0.176
0.212000,-0.1553,-0.0746,0.0435,0.178
0.213000,-0.1696,-0.0640,0.0839,0.200
0.217000,-0.1864,-0.0798,0.1506,0.253
0.223000,-0.1817,-0.0885,0.1670,0.262
