time,ax,ay,az,aT
0.008000,-0.3541,-0.2294,-0.8802,0.976
0.008000,-0.4321,-0.2351,-0.6373,0.805
0.008000,-0.5221,-0.2361,-0.4617,0.736
0.012000,-0.5739,-0.2971,-0.3486,0.734
0.017000,-0.5542,-0.3371,-0.2736,0.704
0.022000,-0.5110,-0.3495,-0.2582,0.671
0.032000,-0.4401,-0.3606,-0.3215,0.653
0.032000,-0.3801,-0.3245,-0.4112,0.647
0.037000,-0.3215,-0.2769,-0.4222,0.599
0.042000,-0.3025,-0.2463,-0.3596,0.531
0.049000,-0.2912,-0.1893,-0.2687,0.439
0.055000,-0.2517,-0.1635,-0.2498,0.391
0.057000,-0.2103,-0.1545,-0.2764,0.380
0.064000,-0.1215,-0.1383,-0.3819,0.424
0.066000,-0.0572,-0.1265,-0.4039,0.427
0.072000,0.0163,-0.1045,-0.3809,0.395
0.076000,0.1016,-0.0603,-0.3488,0.368
0.086000,0.1893,-0.0273,-0.2978,0.354
0.086000,0.1937,-0.0175,-0.2016,0.280
0.090000,0.1294,-0.0428,-0.0818,0.159
0.096000,0.1018,-0.0389,-0.0267,0.112
0.101000,0.0799,-0.0299,-0.0145,0.087
0.106000,0.0775,-0.0706,-0.0453,0.114
0.112000,0.0390,-0.1063,-0.0356,0.119
0.116000,0.0556,-0.1200,0.0050,0.132
0.121000,0.0029,-0.1071,0.0215,0.109
0.127000,-0.0376,-0.1081,-0.0505,0.125
0.130000,-0.0930,-0.1135,-0.0464,0.154
0.136000,-0.1446,-0.1332,0.0315,0.199
0.139000,-0.1208,-0.1627,0.1566,0.256
0.145000,-0.0643,-0.1756,0.3292,0.379
0.150000,-0.0179,-0.1842,0.4633,0.499
0.154000,0.0378,-0.1791,0.4803,0.514
0.168000,0.2007,-0.1171,0.3757,0.442
0.169000,0.3778,-0.1035,0.3575,0.530
0.169000,0.4310,-0.1116,0.3826,0.587
0.176000,0.4136,-0.1150,0.3652,0.564
0.179000,0.3570,-0.1137,0.3555,0.516
0.184000,0.2851,-0.1247,0.3511,0.469
0.189000,0.2858,-0.1360,0.2565,0.407
0.195000,0.2894,-0.1333,0.1361,0.346
0.198000,0.2458,-0.1354,0.0329,0.283
0.203000,0.2381,-0.1469,-0.1706,0.328
0.209000,0.2708,-0.1459,-0.3859,0.493
0.213000,0.2813,-0.0844,-0.4413,0.530
0.218000,0.2838,-0.0697,-0.4425,0.530
0.222000,0.1662,-0.0276,-0.3200,0.362
0.228000,-0.0259,0.0224,-0.1411,0.145
0.233000,0.0367,-0.0686,0.1662,0.183
0.237000,-0.0728,-0.1452,0.3798,0.413
0.243000,-0.1314,-0.1168,0.4022,0.439
0.247000,-0.1727,-0.0291,0.3509,0.392
0.252000,-0.1539,0.0556,0.2785,0.323
0.258000,-0.0877,0.0921,0.1154,0.172
0.262000,-0.0031,0.0904,-0.0332,0.096
0.267000,-0.0202,0.0388,-0.1606,0.166
0.272000,-0.1099,-0.0146,-0.1928,0.222
0.277000,-0.1619,-0.0410,-0.2229,0.278
0.282000,-0.1355,-0.0265,-0.2317,0.270
0.286000,-0.0977,0.0241,-0.1978,0.222
0.301000,-0.0458,0.0175,-0.1569,0.164
0.302000,-0.0440,0.0256,0.0129,0.053
0.302000,-0.0915,0.0645,0.2211,0.248
0.307000,-0.1116,0.0495,0.3126,0.336
0.326000,-0.1019,0.0580,0.3664,0.385
0.327000,-0.0576,0.0871,0.2941,0.312
0.327000,0.0372,0.0677,0.1603,0.178
0.328000,0.0773,0.0481,0.0150,0.092
0.335000,0.0882,0.0429,-0.0704,0.121
0.335000,0.0703,0.0068,-0.0866,0.112
0.342000,0.0258,0.0092,-0.1172,0.120
0.344000,-0.0717,0.0238,-0.0572,0.095
0.350000,-0.1503,0.0147,0.0741,0.168
0.354000,-0.1453,0.0917,0.1239,0.212
0.359000,-0.1903,0.1067,0.1856,0.286
0.364000,-0.3212,0.0045,0.2735,0.422
0.369000,-0.2684,-0.0737,0.1820,0.333
0.375000,-0.1542,-0.1134,0.0020,0.191
0.379000,-0.0201,-0.1286,-0.1161,0.174
