time,ax,ay,az,aT
0.004000,0.0698,-0.0042,-0.6735,0.677
0.005000,0.1030,0.0431,-0.5215,0.533
0.006000,0.1093,0.0657,-0.3296,0.353
0.015000,0.0721,0.0345,-0.1481,0.168
0.016000,0.0225,0.0018,0.0353,0.042
0.018000,-0.0250,-0.0453,0.2015,0.208
0.023000,-0.0296,-0.0474,0.3055,0.311
0.027000,-0.0127,-0.0671,0.3761,0.382
0.032000,-0.0051,-0.0330,0.3727,0.374
0.037000,-0.0111,-0.0574,0.3267,0.332
0.046000,-0.0356,-0.0442,0.2212,0.228
0.046000,-0.0330,-0.0652,0.0685,0.100
0.051000,-0.0276,-0.0530,-0.0982,0.115
0.058000,0.0041,-0.0312,-0.2144,0.217
0.064000,0.0261,-0.0234,-0.3090,0.311
0.066000,0.0262,-0.0150,-0.3462,0.348
0.074000,0.0332,-0.0178,-0.3549,0.357
0.082000,0.0348,-0.0366,-0.3399,0.344
0.082000,0.0408,-0.0379,-0.3012,0.306
0.085000,0.0608,-0.0457,-0.2245,0.237
0.092000,0.0613,-0.0436,-0.1673,0.183
0.096000,0.0568,-0.0530,-0.0863,0.116
0.099000,0.0642,-0.0553,-0.0390,0.093
0.107000,0.0358,-0.0673,-0.0275,0.081
0.116000,0.0173,-0.0556,0.0055,0.059
0.116000,0.0301,-0.0490,0.0098,0.058
0.120000,0.0360,-0.0401,-0.0193,0.057
0.132000,0.0779,-0.0625,0.0019,0.100
0.133000,0.0866,-0.0634,0.0231,0.110
0.135000,0.0981,-0.0574,0.0084,0.114
0.140000,0.1145,-0.0752,-0.0230,0.139
0.144000,0.1285,-0.0691,-0.0399,0.151
0.150000,0.1186,-0.0702,0.0076,0.138
0.165000,0.1302,-0.0854,0.0526,0.164
0.166000,0.1202,-0.0887,0.0975,0.178
0.167000,0.1078,-0.0824,0.1280,0.187
0.173000,0.0906,-0.0880,0.1441,0.192
0.175000,0.0855,-0.0628,0.2056,0.231
0.193000,0.0851,-0.0691,0.2121,0.239
0.194000,0.0562,-0.0661,0.2498,0.264
0.194000,0.0036,-0.0540,0.2230,0.229
0.195000,-0.0081,-0.0518,0.2083,0.215
0.198000,-0.0364,-0.0116,0.1388,0.144
0.203000,-0.0692,-0.0003,0.0718,0.100
0.208000,-0.0781,0.0135,0.0144,0.081
0.213000,-0.1111,0.0060,-0.0118,0.112
0.218000,-0.0893,0.0108,-0.0213,0.092
0.222000,-0.0726,0.0182,-0.0213,0.078
0.227000,-0.0560,0.0330,-0.0095,0.066
0.232000,-0.0392,0.0215,0.0308,0.054
0.238000,-0.0485,0.0007,0.0517,0.071
0.242000,-0.0338,-0.0082,0.0843,0.091
0.247000,-0.0238,0.0042,0.1119,0.115
0.251000,-0.0494,-0.0123,0.1086,0.120
0.261000,-0.0723,-0.0171,0.0840,0.112
0.261000,-0.0761,-0.0316,0.0336,0.089
0.266000,-0.0539,0.0014,-0.0022,0.054
0.282000,-0.0535,0.0032,-0.0400,0.067
0.283000,-0.0486,0.0098,-0.0775,0.092
0.284000,-0.0228,-0.0050,-0.0909,0.094
0.288000,-0.0234,-0.0242,-0.0972,0.103
0.291000,-0.0100,-0.0170,-0.1035,0.105
0.297000,0.0009,-0.0120,-0.0813,0.082
